Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A885109,Kiwi,07/15/2023 03:50:00 PM,Jul 2023,07/13/2020,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair,Torbie
A884003,,07/15/2023 04:27:00 PM,Jul 2023,06/22/2023,Died,In Kennel,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A881381,*Dar,07/15/2023 04:45:00 PM,Jul 2023,03/31/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A881652,*Wedding Soup,07/15/2023 04:46:00 PM,Jul 2023,04/12/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A884494,Cheeseburger,07/15/2023 04:58:00 PM,Jul 2023,07/03/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A881205,Mia,07/15/2023 06:48:00 PM,Jul 2023,03/31/2023,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair,Black/White
A881082,*Pippa,07/15/2023 06:49:00 PM,Jul 2023,05/17/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A885040,*Simone,07/16/2023 03:17:00 PM,Jul 2023,04/29/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A885037,*Marquis,07/16/2023 05:21:00 PM,Jul 2023,04/29/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A883971,Lilla,07/16/2023 06:05:00 PM,Jul 2023,06/26/2016,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico/White
A885090,885090,07/17/2023 12:00:00 AM,Jul 2023,03/13/2023,Disposal,,Cat,Intact Male,4 months,Domestic Shorthair,White/Gray
A885054,,07/17/2023 06:58:00 AM,Jul 2023,07/12/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Black/White
A885017,,07/17/2023 06:59:00 AM,Jul 2023,07/12/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby
A885136,Poppers,07/17/2023 06:59:00 AM,Jul 2023,07/14/2022,Transfer,Snr,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby
A885143,Greg,07/17/2023 07:00:00 AM,Jul 2023,07/14/2020,Transfer,Snr,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby
A885299,,07/17/2023 12:50:00 PM,Jul 2023,07/10/2023,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Gray Tabby/White
A885279,,07/17/2023 12:50:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Female,6 days,Domestic Shorthair,Orange/White
A885300,,07/17/2023 12:50:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Female,6 days,Domestic Shorthair,Brown Tabby
A885284,,07/17/2023 12:51:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair,Orange/White
A885280,,07/17/2023 12:51:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Female,6 days,Domestic Shorthair,Cream
A885283,,07/17/2023 12:51:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair,Black/White
A885282,,07/17/2023 12:51:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair,Brown Tabby
A885281,,07/17/2023 12:51:00 PM,Jul 2023,07/11/2023,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair,Blue/White
A885302,,07/17/2023 01:52:00 PM,Jul 2023,06/25/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A884260,Figaro,07/17/2023 04:04:00 PM,Jul 2023,04/30/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White
A881181,,07/17/2023 04:16:00 PM,Jul 2023,03/30/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie
A882395,Jimmy,07/17/2023 04:26:00 PM,Jul 2023,04/04/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby/White
A882428,Jiji,07/17/2023 04:42:00 PM,Jul 2023,05/07/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black
A881021,Gypsy,07/17/2023 04:48:00 PM,Jul 2023,04/09/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Blue
A881425,June,07/17/2023 05:01:00 PM,Jul 2023,03/22/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby/White
A882432,Snickers,07/17/2023 05:10:00 PM,Jul 2023,05/07/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A884657,Molly,07/17/2023 05:18:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby/White
A878813,Luna,07/17/2023 05:36:00 PM,Jul 2023,10/17/2021,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie
A885318,,07/17/2023 05:36:00 PM,Jul 2023,06/25/2023,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue
A882394,Cookies,07/17/2023 05:50:00 PM,Jul 2023,04/04/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A882392,Pickles,07/17/2023 05:50:00 PM,Jul 2023,04/04/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black
A882693,Mitzi,07/17/2023 06:04:00 PM,Jul 2023,04/17/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A884659,Ginger,07/17/2023 06:08:00 PM,Jul 2023,04/29/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair,Cream Tabby/White
A883310,*Tani,07/17/2023 06:27:00 PM,Jul 2023,05/02/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair,Blue Cream
A883312,*Amber,07/17/2023 06:27:00 PM,Jul 2023,05/02/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A883419,Poppy,07/17/2023 06:38:00 PM,Jul 2023,05/02/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Blue Tabby
A882130,*Bartholomew,07/17/2023 06:54:00 PM,Jul 2023,05/31/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A885139,885139,07/18/2023 08:45:00 AM,Jul 2023,07/14/2021,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Longhair,Cream
A880206,*Tsuki,07/18/2023 12:34:00 PM,Jul 2023,04/20/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A880207,Echo,07/18/2023 12:34:00 PM,Jul 2023,04/20/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A883696,*Terrence,07/18/2023 02:33:00 PM,Jul 2023,06/22/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Medium Hair,Brown Tabby
A884273,*Karl,07/18/2023 02:34:00 PM,Jul 2023,12/30/2022,Transfer,Partner,Cat,Intact Male,6 months,Domestic Shorthair,Black
A885107,Sam,07/18/2023 02:34:00 PM,Jul 2023,07/13/2020,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair,Black/White
A884407,*Mona Lisa,07/18/2023 02:34:00 PM,Jul 2023,07/02/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Tortie
A884408,*Topsy,07/18/2023 02:35:00 PM,Jul 2023,05/07/2023,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair,Tortie
A884409,*Turvy,07/18/2023 02:35:00 PM,Jul 2023,05/07/2023,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair,Black
A884017,*Fox,07/18/2023 02:36:00 PM,Jul 2023,05/12/2023,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair,Black/White
A884018,*Bear,07/18/2023 02:36:00 PM,Jul 2023,05/12/2023,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby/White
A885042,,07/18/2023 02:37:00 PM,Jul 2023,05/30/2023,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Blue
A879625,*Ziti,07/18/2023 04:35:00 PM,Jul 2023,03/07/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,White/Blue
A883125,Pancho,07/18/2023 04:39:00 PM,Jul 2023,12/13/2021,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Gray
A882437,Sassie,07/18/2023 04:42:00 PM,Jul 2023,04/25/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A885372,80 Grams,07/18/2023 04:48:00 PM,Jul 2023,07/15/2023,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair,Orange Tabby
A883715,Strudel,07/18/2023 04:51:00 PM,Jul 2023,04/22/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Cream Tabby
A884854,Pantera,07/18/2023 05:20:00 PM,Jul 2023,03/25/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A881660,*Bellatrix,07/18/2023 05:49:00 PM,Jul 2023,04/12/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A881657,*Fang,07/18/2023 05:49:00 PM,Jul 2023,04/12/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby
A881893,*Mooshu,07/18/2023 05:50:00 PM,Jul 2023,04/19/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby
A881894,*Dumpling,07/18/2023 05:52:00 PM,Jul 2023,05/06/2023,Adoption,Foster,Cat,Spayed Female,2 months,Manx Mix,Brown Tabby
A884225,Axl,07/18/2023 05:58:00 PM,Jul 2023,06/30/2021,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A880907,April,07/18/2023 06:12:00 PM,Jul 2023,03/27/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Orange Tabby/White
A884771,Chloe,07/18/2023 06:27:00 PM,Jul 2023,05/07/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A884660,Pelusa,07/18/2023 06:57:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair,Cream Tabby
A881805,*Sunshine,07/19/2023 11:17:00 AM,Jul 2023,05/26/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Orange Tabby/White
A880171,*Charmander,07/19/2023 11:38:00 AM,Jul 2023,04/11/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Calico
A881808,*Summer,07/19/2023 11:50:00 AM,Jul 2023,05/17/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange/White
A881810,*Sunny,07/19/2023 11:56:00 AM,Jul 2023,05/17/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange/White
A881806,*Breeze,07/19/2023 11:57:00 AM,Jul 2023,05/17/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange/White
A885021,,07/19/2023 12:01:00 PM,Jul 2023,07/08/2023,Died,In Foster,Cat,Unknown,1 weeks,Domestic Shorthair,Calico
A881809,*Rainbow,07/19/2023 12:17:00 PM,Jul 2023,05/17/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange/White
A882892,*Mochi,07/19/2023 12:27:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair,Orange Tabby
A882896,*Nala,07/19/2023 12:31:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby/White
A882891,*Mama,07/19/2023 12:32:00 PM,Jul 2023,06/10/2022,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Calico/Brown Tabby
A882893,*Plum,07/19/2023 12:43:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,White/Orange Tabby
A882894,*Persimmon,07/19/2023 12:44:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A881848,*Cozumel,07/19/2023 01:00:00 PM,Jul 2023,04/20/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair,Black/White
A880067,*Bishop,07/19/2023 01:05:00 PM,Jul 2023,03/29/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A880066,*Marius,07/19/2023 01:07:00 PM,Jul 2023,03/29/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A880463,*Moonstone,07/19/2023 01:16:00 PM,Jul 2023,04/02/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair,Brown Tabby
A882093,*Princess Gummi Bear,07/19/2023 01:28:00 PM,Jul 2023,05/05/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair,Black
A879279,*Butterfly,07/19/2023 01:36:00 PM,Jul 2023,04/05/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Longhair,Blue Tabby
A882621,*Grumbles,07/19/2023 02:24:00 PM,Jul 2023,03/30/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,White/Blue Tabby
A878897,*Tish,07/19/2023 02:30:00 PM,Jul 2023,02/15/2023,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie
A880357,*Sol,07/19/2023 03:05:00 PM,Jul 2023,05/01/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White/Cream Tabby
A880358,*Kirin,07/19/2023 03:07:00 PM,Jul 2023,05/01/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White/Cream
A884072,Diamond,07/19/2023 04:23:00 PM,Jul 2023,05/18/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A884070,Simba,07/19/2023 04:23:00 PM,Jul 2023,05/18/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A884317,Gertie,07/19/2023 04:35:00 PM,Jul 2023,04/19/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A879530,*Bolt,07/19/2023 04:50:00 PM,Jul 2023,03/21/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A884899,Fajita (Starsky),07/19/2023 04:56:00 PM,Jul 2023,04/19/2023,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby
A885055,Sparky,07/19/2023 05:00:00 PM,Jul 2023,04/12/2023,Adoption,,Cat,Neutered Male,3 months,Siamese,Flame Point
A884334,Noche,07/19/2023 05:14:00 PM,Jul 2023,04/01/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Black
A885414,,07/19/2023 05:43:00 PM,Jul 2023,07/12/2023,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,White/Black
A884002,*Fantine,07/19/2023 05:44:00 PM,Jul 2023,06/27/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby
A884004,,07/19/2023 05:44:00 PM,Jul 2023,06/22/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A881163,*Dillon,07/20/2023 09:24:00 AM,Jul 2023,03/28/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A880523,*Larkspur,07/20/2023 09:28:00 AM,Jul 2023,04/10/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A881807,*Cloud,07/20/2023 09:34:00 AM,Jul 2023,05/17/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange/White
A880459,*Lapis,07/20/2023 09:48:00 AM,Jul 2023,03/28/2023,Adoption,Foster,Cat,Neutered Male,3 months,Russian Blue Mix,Blue
A883627,A883627,07/20/2023 10:06:00 AM,Jul 2023,04/25/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White
A880356,*Sunny,07/20/2023 10:15:00 AM,Jul 2023,05/01/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White
A880360,*Elio,07/20/2023 10:26:00 AM,Jul 2023,05/01/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White/Cream Tabby
A885463,205 Grams,07/20/2023 12:50:00 PM,Jul 2023,07/05/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Torbie/Blue Tabby
A885501,,07/20/2023 02:13:00 PM,Jul 2023,07/01/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,White/Blue
A885504,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue/White
A885507,,07/20/2023 02:13:00 PM,Jul 2023,07/01/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Black/White
A885497,,07/20/2023 02:13:00 PM,Jul 2023,07/01/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange/White
A885499,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Calico
A885498,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White
A885503,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Cream Tabby/White
A885496,,07/20/2023 02:13:00 PM,Jul 2023,07/01/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue/White
A885495,,07/20/2023 02:13:00 PM,Jul 2023,07/19/2019,Transfer,Partner,Cat,Intact Female,4 years,Domestic Shorthair,Tortie
A885500,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A885506,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A885505,,07/20/2023 02:13:00 PM,Jul 2023,06/25/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Blue Tabby/White
A885502,,07/20/2023 02:13:00 PM,Jul 2023,06/21/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue/White
A882590,Snowball,07/20/2023 03:28:00 PM,Jul 2023,05/25/2023,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair,White/Brown Tabby
A884176,*Marmite,07/20/2023 04:36:00 PM,Jul 2023,06/02/2023,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Black
A884229,*Brewer,07/20/2023 04:37:00 PM,Jul 2023,06/02/2023,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A880427,*Pico De Gallo,07/20/2023 05:01:00 PM,Jul 2023,04/03/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A885190,,07/20/2023 05:24:00 PM,Jul 2023,03/30/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Blue Tabby/White
A884769,Bailey,07/20/2023 05:25:00 PM,Jul 2023,05/07/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White
A882243,Ripple,07/20/2023 05:32:00 PM,Jul 2023,06/02/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby
A884274,Luchito,07/20/2023 05:46:00 PM,Jul 2023,12/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Black
A881207,,07/20/2023 06:35:00 PM,Jul 2023,03/31/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A882520,*Bradley,07/20/2023 06:39:00 PM,Jul 2023,06/05/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby
A880850,*Guava,07/20/2023 07:21:00 PM,Jul 2023,05/16/2020,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair,Tortie
A880880,*Raspberry,07/20/2023 07:22:00 PM,Jul 2023,05/16/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Black
A880859,*Pineapple,07/20/2023 07:22:00 PM,Jul 2023,07/16/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A884849,Smores,07/21/2023 11:33:00 AM,Jul 2023,07/09/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A884887,*Reepicheep,07/21/2023 04:07:00 PM,Jul 2023,05/29/2023,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair,Blue Tabby
A885041,Cape,07/21/2023 04:38:00 PM,Jul 2023,04/12/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A885325,Myela,07/21/2023 04:39:00 PM,Jul 2023,05/04/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A884770,Leo,07/21/2023 04:56:00 PM,Jul 2023,05/07/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White
A881586,Sammy,07/21/2023 05:02:00 PM,Jul 2023,05/24/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Blue/White
A882860,*Henry,07/21/2023 05:44:00 PM,Jul 2023,03/19/2023,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A884254,,07/21/2023 06:18:00 PM,Jul 2023,04/15/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair,Brown Tabby/Orange
A884255,,07/21/2023 06:18:00 PM,Jul 2023,04/15/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair,Brown Tabby
A881194,Mirracella,07/21/2023 06:30:00 PM,Jul 2023,05/18/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Calico
A881972,*Triscuit,07/22/2023 10:58:00 AM,Jul 2023,03/22/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Blue Tabby
A882637,,07/22/2023 11:12:00 AM,Jul 2023,04/14/2023,Adoption,Foster,Cat,Spayed Female,3 months,Siamese,Tortie Point
A884856,Rocky,07/22/2023 12:13:00 PM,Jul 2023,04/20/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,White/Black
A882117,*May,07/22/2023 12:51:00 PM,Jul 2023,04/14/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair,Black/White
A882120,*June,07/22/2023 12:51:00 PM,Jul 2023,04/14/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair,Black
A880172,*Bulbasaur,07/22/2023 01:00:00 PM,Jul 2023,04/11/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby/White
A882091,* Reese'S,07/22/2023 01:01:00 PM,Jul 2023,05/05/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A883581,*Parfait,07/22/2023 01:05:00 PM,Jul 2023,05/09/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A883841,*Dj Meowtown,07/22/2023 01:07:00 PM,Jul 2023,05/17/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A879627,*Gnocchi,07/22/2023 01:10:00 PM,Jul 2023,03/07/2023,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair,Blue Tabby
A879922,*Fleece,07/22/2023 01:12:00 PM,Jul 2023,03/26/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby/White
A879921,*Cotton,07/22/2023 01:15:00 PM,Jul 2023,03/26/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A879275,*June Bug,07/22/2023 01:21:00 PM,Jul 2023,04/05/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair,Brown Tabby
A880889,Thoothless,07/22/2023 01:23:00 PM,Jul 2023,11/17/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair,Black
A878478,*Quinn,07/22/2023 01:27:00 PM,Jul 2023,04/02/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A878317,*Quark,07/22/2023 01:27:00 PM,Jul 2023,03/26/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A879626,*Tortellini,07/22/2023 01:29:00 PM,Jul 2023,03/07/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby/White
A881015,*Strawberry Shortcake,07/22/2023 01:32:00 PM,Jul 2023,04/16/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie
A882509,*Tortie Tessa,07/22/2023 01:32:00 PM,Jul 2023,04/16/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A881017,*Sky Dancer,07/22/2023 01:35:00 PM,Jul 2023,04/16/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black Tabby
A883919,*Lil Beeper,07/22/2023 01:36:00 PM,Jul 2023,05/23/2023,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Medium Hair,Orange Tabby
A881777,*Celeste,07/22/2023 01:40:00 PM,Jul 2023,05/04/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A882510,*Silky Sam,07/22/2023 01:40:00 PM,Jul 2023,04/16/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A884792,*Daisy,07/22/2023 01:41:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A884794,Mario,07/22/2023 01:42:00 PM,Jul 2023,04/29/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A882164,*Sweetums,07/22/2023 01:44:00 PM,Jul 2023,05/06/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A881987,*Custard,07/22/2023 01:44:00 PM,Jul 2023,04/24/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A881016,*Groovy Girl,07/22/2023 01:46:00 PM,Jul 2023,04/16/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black Tabby
A883748,*Sandals,07/22/2023 01:49:00 PM,Jul 2023,05/16/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A882837,*Poppy,07/22/2023 01:58:00 PM,Jul 2023,05/09/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A882134,Cookie,07/22/2023 02:05:00 PM,Jul 2023,04/09/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A883749,*Holiday,07/22/2023 02:13:00 PM,Jul 2023,05/16/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A885485,Friday,07/22/2023 02:28:00 PM,Jul 2023,07/20/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Black
